Symbol,Name,Description,Price,Change %,Exchange,Launch Date,Selection Criteria,Strategy,Leverage Ratio,Update Mode
CBOE:GEVX,GEVX,Tradr 2X Long GEV Daily ETF,16.54,0.6695069993913538,CBOE,2025-07-09,36,33,2x,delayed_streaming_900
CBOE:CWVX,CWVX,Tradr 2X Long CRWV Daily ETF,12.86,-9.05233380480906,CBOE,2025-07-09,36,33,2x,delayed_streaming_900
CBOE:ASTX,ASTX,Tradr 2X Long ASTS Daily ETF,11.4,14.572864321608053,CBOE,2025-07-09,36,33,2x,delayed_streaming_900
CBOE:CEGX,CEGX,Tradr 2X Long CEG Daily ETF,12.18,0.5481442345793142,CBOE,2025-07-09,36,33,2x,delayed_streaming_900
NASDAQ:QCMD,QCMD,Direxion Daily QCOM Bear 1X ETF,15.71,-2.2736462318434936,NASDAQ,2025-06-24,36,33,,delayed_streaming_900
NASDAQ:CSCL,CSCL,Direxion Daily CSCO Bull 2X ETF,52.17,4.173322683706077,NASDAQ,2025-06-24,36,33,2x,delayed_streaming_900
NASDAQ:CSCS,CSCS,Direxion Daily CSCO Bear 1X ETF,13.87,-2.280589275523652,NASDAQ,2025-06-24,36,33,,delayed_streaming_900
NASDAQ:QCMU,QCMU,Direxion Daily QCOM Bull 2X ETF,24.655,5.4804483614272375,NASDAQ,2025-06-24,36,33,2x,delayed_streaming_900
NASDAQ:IONZ,IONZ,Defiance Daily Target 2x Short IONQ ETF,24.65,-20.500027413783652,NASDAQ,2025-06-22,36,33,2x,delayed_streaming_900
CBOE:QUBX,QUBX,Tradr 2X Long QUBT Daily ETF,7.1904,11.825816485225516,CBOE,2025-06-22,36,33,2x,delayed_streaming_900
NASDAQ:OKLL,OKLL,Defiance Daily Target 2x Long OKLO ETF,11.34,24.342105263157904,NASDAQ,2025-06-22,36,33,2x,delayed_streaming_900
NASDAQ:SOUX,SOUX,Defiance Daily Target 2X Long SOUN ETF,8.57,3.8498358033517968,NASDAQ,2025-06-22,36,33,2x,delayed_streaming_900
CBOE:RGTU,RGTU,Tradr 2X Long RGTI Daily ETF,11.06,16.896019616547246,CBOE,2025-06-22,36,33,2x,delayed_streaming_900
CBOE:AMZW,AMZW,Roundhill AMZN WeeklyPay ETF,35.12,2.718290992261013,CBOE,2025-06-17,36,33,Other,delayed_streaming_900
CBOE:NFLW,NFLW,Roundhill NFLX WeeklyPay ETF,15.91,-1.4317487655736065,CBOE,2025-06-17,36,33,Other,delayed_streaming_900
CBOE:HOOW,HOOW,Roundhill HOOD WeeklyPay ETF,26.13,3.5671819262782343,CBOE,2025-06-17,36,33,Other,delayed_streaming_900
CBOE:METW,METW,Roundhill META WeeklyPay ETF,27.4,0.5615297096928054,CBOE,2025-06-17,36,33,Other,delayed_streaming_900
CBOE:BRKW,BRKW,Roundhill BRKB WeeklyPay ETF,39.15,-2.181245783674399,CBOE,2025-06-17,36,33,Other,delayed_streaming_900
NASDAQ:BOEG,BOEG,Leverage Shares 2X Long BA Daily ETF,10.6997,-3.993790826214917,NASDAQ,2025-06-12,36,33,2x,delayed_streaming_900
NASDAQ:KMLI,KMLI,KraneShares 2x Long MELI Daily ETF,9.13,-1.235369204474141,NASDAQ,2025-06-10,36,33,2x,delayed_streaming_900
NASDAQ:MSTP,MSTP,GraniteShares 2x Long MSTR Daily ETF,21.74,9.603682361066985,NASDAQ,2025-06-08,36,33,2x,delayed_streaming_900
CBOE:ARCX,ARCX,Tradr 2X Long ACHR Daily ETF,11.75,6.721162579473209,CBOE,2025-06-08,36,33,2x,delayed_streaming_900
CBOE:UPSX,UPSX,Tradr 2X Long UPST Daily ETF,10.39,0.483558994197299,CBOE,2025-06-08,36,33,2x,delayed_streaming_900
NASDAQ:RTXG,RTXG,Leverage Shares 2X Long RTX Daily ETF,22.6,-3.6382939714240523,NASDAQ,2025-06-05,36,33,2x,delayed_streaming_900
NASDAQ:PLTZ,PLTZ,Defiance Daily Target 2x Short PLTR ETF,9.12,-1.084598698481577,NASDAQ,2025-06-04,36,33,2x,delayed_streaming_900
NASDAQ:AVGG,AVGG,Leverage Shares 2X Long AVGO Daily ETF,21.7647,5.510982698190319,NASDAQ,2025-05-15,36,33,2x,delayed_streaming_900
CBOE:TEMT,TEMT,Tradr 2X Long TEM Daily ETF,38.34,29.221435793731043,CBOE,2025-05-11,36,33,2x,delayed_streaming_900
NASDAQ:MST,MST,Defiance Leveraged Long + Income MSTR ETF,11.95,8.93345487693709,NASDAQ,2025-04-30,36,33,Variable,delayed_streaming_900
NASDAQ:PLTG,PLTG,Leverage Shares 2X Long PLTR Daily ETF,17.615,1.0387807662083477,NASDAQ,2025-04-24,36,33,2x,delayed_streaming_900
CBOE:SNOU,SNOU,T-REX 2X Long SNOW Daily Target ETF,67.41,4.600822406703396,CBOE,2025-04-23,36,33,2x,delayed_streaming_900
NASDAQ:APPX,APPX,Tradr 2X Long APP Daily ETF,13.18,-5.004216428936957,NASDAQ,2025-04-23,36,33,2x,delayed_streaming_900
CBOE:GMEU,GMEU,T-REX 2X Long GME Daily Target ETF,7.78,5.27740189445197,CBOE,2025-04-23,36,33,2x,delayed_streaming_900
CBOE:QBTX,QBTX,Tradr 2X Long QBTS Daily ETF,6.6404,18.790697674418603,CBOE,2025-04-23,36,33,2x,delayed_streaming_900
NASDAQ:XOMX,XOMX,Direxion Daily XOM Bull 2X ETF,48.21,-0.6694152043168926,NASDAQ,2025-04-22,36,33,2x,delayed_streaming_900
NASDAQ:BOEU,BOEU,Direxion Daily BA Bull 2X ETF,26.955,-4.26518065485387,NASDAQ,2025-04-22,36,33,2x,delayed_streaming_900
NASDAQ:RVNL,RVNL,GraniteShares 2x Long RIVN Daily ETF,23.35,5.897132387288716,NASDAQ,2025-04-20,36,33,2x,delayed_streaming_900
NASDAQ:XYZG,XYZG,Leverage Shares 2X Long XYZ Daily ETF,15.725,0.2569382901808783,NASDAQ,2025-04-03,36,33,2x,delayed_streaming_900
NASDAQ:PYPG,PYPG,Leverage Shares 2X Long PYPL Daily ETF,7.125,1.8104396782075587,NASDAQ,2025-04-03,36,33,2x,delayed_streaming_900
NASDAQ:CRMG,CRMG,Leverage Shares 2X Long CRM Daily ETF,9.055,-4.2811839323467344,NASDAQ,2025-04-03,36,33,2x,delayed_streaming_900
NASDAQ:RGTX,RGTX,Defiance Daily Target 2X Long RGTI ETF,9.9801,16.726315789473677,NASDAQ,2025-03-30,36,33,2x,delayed_streaming_900
NASDAQ:SMCZ,SMCZ,Defiance Daily Target 2X Short SMCI ETF,4.855,-19.619205298013238,NASDAQ,2025-03-30,36,33,2x,delayed_streaming_900
NASDAQ:PALU,PALU,Direxion Daily PANW Bull 2X ETF,57.14,0.6340260655160258,NASDAQ,2025-03-25,36,33,2x,delayed_streaming_900
NASDAQ:PALD,PALD,Direxion Daily PANW Bear 1X ETF,9.94,-0.10050251256281194,NASDAQ,2025-03-25,36,33,,delayed_streaming_900
NASDAQ:ELIL,ELIL,Direxion Daily LLY Bull 2X ETF,27.3,1.2953185236856652,NASDAQ,2025-03-25,36,33,2x,delayed_streaming_900
NASDAQ:RDTL,RDTL,GraniteShares 2x Long RDDT Daily ETF,12.99,-7.2142857142857135,NASDAQ,2025-03-24,36,33,2x,delayed_streaming_900
NASDAQ:IONL,IONL,GraniteShares 2x Long IONQ Daily ETF,13.112,20.183318056828597,NASDAQ,2025-03-24,36,33,2x,delayed_streaming_900
NASDAQ:VRTL,VRTL,GraniteShares 2x Long VRT Daily ETF,23.15,1.5350877192982362,NASDAQ,2025-03-24,36,33,2x,delayed_streaming_900
NASDAQ:PANG,PANG,Leverage Shares 2X Long PANW Daily ETF,34.77,-0.02099070370613488,NASDAQ,2025-03-20,36,33,2x,delayed_streaming_900
NASDAQ:HOOG,HOOG,Leverage Shares 2X Long HOOD Daily ETF,29.79,5.675771550195097,NASDAQ,2025-03-20,36,33,2x,delayed_streaming_900
NASDAQ:ADBG,ADBG,Leverage Shares 2X Long ADBE Daily ETF,4.12,0.36540803897684965,NASDAQ,2025-03-20,36,33,2x,delayed_streaming_900
NASDAQ:HOOX,HOOX,Defiance Daily Target 2X Long HOOD ETF,33.65,5.691644235329583,NASDAQ,2025-03-17,36,33,2x,delayed_streaming_900
NASDAQ:COIG,COIG,Leverage Shares 2X Long COIN Daily ETF,4.89,9.151785714285698,NASDAQ,2025-03-13,36,33,2x,delayed_streaming_900
AMEX:ARMH,ARMH,Arm Holdings PLC,11.115,7.0809248554913236,AMEX,2025-03-13,36,33,,delayed_streaming_900
AMEX:TMH,TMH,Toyota Motor Corporation,50.67,1.3013029022913247,AMEX,2025-03-12,36,33,,delayed_streaming_900
AMEX:STHH,STHH,STMicroelectronics NV,9.82,1.2882796464193276,AMEX,2025-03-12,36,33,,delayed_streaming_900
AMEX:ASMH,ASMH,ASML Holding NV,11.1,1.1371091187404374,AMEX,2025-03-12,36,33,,delayed_streaming_900
NASDAQ:HIMZ,HIMZ,Defiance Daily Target 2X Long HIMS ETF,25.4,1.478226128645615,NASDAQ,2025-03-11,36,33,2x,delayed_streaming_900
NASDAQ:RKLX,RKLX,Defiance Daily Target 2X Long RKLB ETF,16.68,13.469387755102044,NASDAQ,2025-03-11,36,33,2x,delayed_streaming_900
NASDAQ:IONX,IONX,Defiance Daily Target 2X Long IONQ ETF,23.78,19.919314170448832,NASDAQ,2025-03-10,36,33,2x,delayed_streaming_900
NASDAQ:KBAB,KBAB,KraneShares 2x Long BABA Daily ETF,6.49,2.351401220646908,NASDAQ,2025-03-10,36,33,2x,delayed_streaming_900
NASDAQ:KPDD,KPDD,KraneShares 2x Long PDD Daily ETF,4.59,-1.7256883483920789,NASDAQ,2025-03-10,36,33,2x,delayed_streaming_900
NASDAQ:MVLL,MVLL,GraniteShares 2x Long MRVL Daily ETF,30.19,9.741912031988367,NASDAQ,2025-03-06,36,33,2x,delayed_streaming_900
NASDAQ:MRAL,MRAL,GraniteShares 2x Long MARA Daily ETF,39.1699,9.199609701700588,NASDAQ,2025-03-06,36,33,2x,delayed_streaming_900
CBOE:RBLU,RBLU,T-REX 2X Long RBLX Daily Target ETF,5.375,0.3734827264238949,CBOE,2025-03-03,36,33,2x,delayed_streaming_900
CBOE:DJTU,DJTU,T-REX 2X Long DJT Daily Target ETF,10.4902,3.6581027667984247,CBOE,2025-03-03,36,33,2x,delayed_streaming_900
CBOE:TSLW,TSLW,Roundhill TSLA WeeklyPay ETF,18.0939,2.80625,CBOE,2025-02-18,36,33,Other,delayed_streaming_900
CBOE:NVDW,NVDW,Roundhill NVDA WeeklyPay ETF,35.96,3.2295105497344623,CBOE,2025-02-18,36,33,Other,delayed_streaming_900
CBOE:COIW,COIW,Roundhill COIN WeeklyPay ETF,8.28,5.477707006369424,CBOE,2025-02-18,36,33,Other,delayed_streaming_900
CBOE:PLTW,PLTW,Roundhill PLTR WeeklyPay ETF,23.43,0.7741935483870955,CBOE,2025-02-18,36,33,Other,delayed_streaming_900
CBOE:AAPW,AAPW,Roundhill AAPL WeeklyPay ETF,41.85,1.6418127944819592,CBOE,2025-02-18,36,33,Other,delayed_streaming_900
NASDAQ:INTW,INTW,GraniteShares 2x Long INTC Daily ETF,26.92,17.760279965004386,NASDAQ,2025-02-12,36,33,2x,delayed_streaming_900
NASDAQ:DLLL,DLLL,GraniteShares 2x Long DELL Daily ETF,39.7199,9.48153252480706,NASDAQ,2025-02-12,36,33,2x,delayed_streaming_900
NASDAQ:QCML,QCML,GraniteShares 2x Long QCOM Daily ETF,19.79,5.209994683678897,NASDAQ,2025-02-12,36,33,2x,delayed_streaming_900
NASDAQ:AMUU,AMUU,Direxion Daily AMD Bull 2X ETF,226.05,12.524267011797516,NASDAQ,2025-02-11,36,33,2x,delayed_streaming_900
NASDAQ:AMDD,AMDD,Direxion Daily AMD Bear 1X ETF,25.79,-6.299275536081509,NASDAQ,2025-02-11,36,33,,delayed_streaming_900
NASDAQ:ORCX,ORCX,Defiance Daily Target 2X Long ORCL ETF,21.88,8.156203657933753,NASDAQ,2025-02-06,36,33,2x,delayed_streaming_900
CBOE:ROBN,ROBN,T-Rex 2X Long HOOD Daily Target ETF,29.94,5.6084656084656075,CBOE,2025-01-30,36,33,2x,delayed_streaming_900
NASDAQ:AMDG,AMDG,Leverage Shares 2X Long AMD Daily ETF,108.48,12.960699090108237,NASDAQ,2025-01-23,36,33,2x,delayed_streaming_900
NASDAQ:SOFX,SOFX,Defiance Daily Target 2X Long SOFI ETF,8.01,-0.49442222167009886,NASDAQ,2025-01-14,36,33,2x,delayed_streaming_900
NASDAQ:TSMG,TSMG,Leverage Shares 2X Long TSM Daily ETF,38.9,5.555073155906733,NASDAQ,2025-01-13,36,33,2x,delayed_streaming_900
NASDAQ:ASMG,ASMG,Leverage Shares 2X Long ASML Daily ETF,40.41,3.225773490824372,NASDAQ,2025-01-13,36,33,2x,delayed_streaming_900
NASDAQ:ARMG,ARMG,Leverage Shares 2X Long ARM Daily ETF,18.18,15.136162127929072,NASDAQ,2025-01-13,36,33,2x,delayed_streaming_900
AMEX:NVOH,NVOH,Novo Nordisk A/S B Shares,23.765,3.5511982570806158,AMEX,2025-01-06,36,33,,delayed_streaming_900
AMEX:GSKH,GSKH,GSK plc,70.6364,1.214956618927181,AMEX,2025-01-06,36,33,,delayed_streaming_900
AMEX:SAPH,SAPH,SAP SE,39.46,0.3677948081413494,AMEX,2025-01-06,36,33,,delayed_streaming_900
AMEX:BPH,BPH,BP plc,71.58,0.06696294390909606,AMEX,2025-01-06,36,33,,delayed_streaming_900
AMEX:RIOX,RIOX,Defiance Daily Target 2X Long RIOT ETF,27.5,12.474437627811865,AMEX,2025-01-01,36,33,2x,delayed_streaming_900
NASDAQ:NVDG,NVDG,Leverage Shares 2X Long NVDA Daily ETF,19.4,5.248881052488797,NASDAQ,2024-12-12,36,33,2x,delayed_streaming_900
NASDAQ:TSLG,TSLG,Leverage Shares 2X Long TSLA Daily ETF,4.855,5.086580086580093,NASDAQ,2024-12-12,36,33,2x,delayed_streaming_900
NASDAQ:SMCL,SMCL,GraniteShares 2x Long SMCI Daily ETF,18.945,20.36137000400252,NASDAQ,2024-12-11,36,33,2x,delayed_streaming_900
NASDAQ:BRKU,BRKU,Direxion Daily BRKB Bull 2X ETF,23.2801,-4.021751677963028,NASDAQ,2024-12-10,36,33,2x,delayed_streaming_900
NASDAQ:PLTD,PLTD,Direxion Daily PLTR Bear 1X ETF,5.15,-0.3868471953578254,NASDAQ,2024-12-10,36,33,,delayed_streaming_900
NASDAQ:PLTU,PLTU,Direxion Daily PLTR Bull 2X ETF,49.98,1.2765957446808418,NASDAQ,2024-12-10,36,33,2x,delayed_streaming_900
AMEX:NVOX,NVOX,Defiance Daily Target 2X Long NVO ETF,12.505,7.8017241379310445,AMEX,2024-12-02,36,33,2x,delayed_streaming_900
NASDAQ:CRWL,CRWL,GraniteShares 2x Long CRWD Daily ETF,92.38,4.478624745532677,NASDAQ,2024-11-10,36,33,2x,delayed_streaming_900
NASDAQ:MULL,MULL,GraniteShares 2x Long MU Daily ETF,21.79,11.003565970453389,NASDAQ,2024-11-10,36,33,2x,delayed_streaming_900
NASDAQ:TSMU,TSMU,GraniteShares 2x Long TSM Daily ETF,69.66,4.972875226039779,NASDAQ,2024-11-10,36,33,2x,delayed_streaming_900
NASDAQ:AVL,AVL,Direxion Daily AVGO Bull 2X ETF,35.48,5.281899109792267,NASDAQ,2024-10-09,36,33,2x,delayed_streaming_900
NASDAQ:AVS,AVS,Direxion Daily AVGO Bear 1X ETF,8.36,-2.677532013969737,NASDAQ,2024-10-09,36,33,,delayed_streaming_900
NASDAQ:MUD,MUD,Direxion Daily MU Bear 1X ETF,10.1099,-5.514953271028034,NASDAQ,2024-10-09,36,33,,delayed_streaming_900
NASDAQ:MUU,MUU,Direxion Daily MU Bull 2X ETF,31.334,10.838344534842589,NASDAQ,2024-10-09,36,33,2x,delayed_streaming_900
NASDAQ:NFXS,NFXS,Direxion Daily NFLX Bear 1X ETF,20.1,1.1407265023926627,NASDAQ,2024-10-02,36,33,,delayed_streaming_900
NASDAQ:NFXL,NFXL,Direxion Daily NFLX Bull 2X ETF,16.5599,-2.301474926253689,NASDAQ,2024-10-02,36,33,2x,delayed_streaming_900
NASDAQ:TSMX,TSMX,Direxion Daily TSM Bull 2X ETF,80.5,5.522289453538734,NASDAQ,2024-10-02,36,33,2x,delayed_streaming_900
NASDAQ:TSMZ,TSMZ,Direxion Daily TSM Bear 1X ETF,7.695,-2.6799377758666476,NASDAQ,2024-10-02,36,33,,delayed_streaming_900
NASDAQ:QQQP,QQQP,Tradr 2X Long Innovation 100 Quarterly ETF,209.3709,-0.007593601888938468,NASDAQ,2024-09-29,36,17,2x,delayed_streaming_900
NASDAQ:SPYQ,SPYQ,Tradr 2X Long SPY Quarterly ETF,190.95,2.073926219180696,NASDAQ,2024-09-29,36,33,2x,delayed_streaming_900
CBOE:NFLU,NFLU,T-Rex 2X Long NFLX Daily Target ETF,17.4,-2.3020774845592373,CBOE,2024-09-26,36,33,2x,delayed_streaming_900
CBOE:MSTU,MSTU,T-Rex 2X Long MSTR Daily Target ETF,30.43,8.562254727078125,CBOE,2024-09-17,36,33,2x,delayed_streaming_900
CBOE:MSTZ,MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF,4.2366,-8.19934994582882,CBOE,2024-09-17,36,33,2x,delayed_streaming_900
NASDAQ:MQQQ,MQQQ,Tradr 2X Long Innovation 100 Monthly ETF,226.48,3.486784507322848,NASDAQ,2024-09-02,36,17,2x,delayed_streaming_900
NASDAQ:UBRL,UBRL,GraniteShares 2x Long UBER Daily ETF,13.81,-0.36075036075035305,NASDAQ,2024-09-02,36,33,2x,delayed_streaming_900
NASDAQ:CONI,CONI,GraniteShares 2x Short COIN Daily ETF,30.11,-9.170437405731521,NASDAQ,2024-09-02,36,33,2x,delayed_streaming_900
NASDAQ:PTIR,PTIR,GraniteShares 2x Long PLTR Daily ETF,18.61,1.0863661053775084,NASDAQ,2024-09-02,36,33,2x,delayed_streaming_900
NASDAQ:AVGX,AVGX,Defiance Daily Target 2X Long AVGO ETF,37.2513,5.289146410401351,NASDAQ,2024-08-20,36,33,2x,delayed_streaming_900
NASDAQ:SMCX,SMCX,Defiance Daily Target 2X Long SMCI ETF,13.5601,19.683142100617832,NASDAQ,2024-08-20,36,33,2x,delayed_streaming_900
NASDAQ:SMST,SMST,Defiance Daily Target 2x Short MSTR ETF,20.86,-8.669001751313488,NASDAQ,2024-08-19,36,33,2x,delayed_streaming_900
NASDAQ:MSTX,MSTX,Defiance Daily Target 2x Long MSTR ETF,13.99,8.030888030888038,NASDAQ,2024-08-13,36,33,2x,delayed_streaming_900
AMEX:LLYX,LLYX,Defiance Daily Target 2X Long LLY ETF,24.2,1.2976140644621126,AMEX,2024-08-06,36,33,2x,delayed_streaming_900
NASDAQ:METU,METU,Direxion Daily META Bull 2X ETF,27.3,0.9242144177449167,NASDAQ,2024-06-04,36,33,2x,delayed_streaming_900
NASDAQ:METD,METD,Direxion Daily META Bear 1X ETF,14.09,-0.28308563340411125,NASDAQ,2024-06-04,36,33,,delayed_streaming_900
NASDAQ:AMZZ,AMZZ,GraniteShares 2x Long AMZN Daily ETF,32.5778,4.416025641025654,NASDAQ,2024-03-03,36,33,2x,delayed_streaming_900
NASDAQ:AMDL,AMDL,GraniteShares 2x Long AMD Daily ETF,64.0,12.974404236540163,NASDAQ,2024-03-03,36,33,2x,delayed_streaming_900
NASDAQ:MSFL,MSFL,GraniteShares 2x Long MSFT Daily ETF,24.77,2.3553719008264475,NASDAQ,2024-03-03,36,33,2x,delayed_streaming_900
CBOE:MAGX,MAGX,Roundhill Daily 2X Long Magnificent Seven ETF,59.7943,3.0580834195105076,CBOE,2024-02-28,36,1,2x,delayed_streaming_900
CBOE:AAPX,AAPX,T-Rex 2X Long Apple Daily Target ETF,40.94,2.273295028728445,CBOE,2024-01-10,36,33,2x,delayed_streaming_900
CBOE:MSFX,MSFX,T-Rex 2X Long Microsoft Daily Target ETF,24.5,1.7441860465116352,CBOE,2024-01-10,36,33,2x,delayed_streaming_900
CBOE:NVDQ,NVDQ,T-Rex 2X Inverse NVIDIA Daily Target ETF,8.85,-5.347593582887701,CBOE,2023-10-18,36,33,2x,delayed_streaming_900
CBOE:NVDX,NVDX,T-Rex 2X Long NVIDIA Daily Target ETF,19.255,5.449069003285857,CBOE,2023-10-18,36,33,2x,delayed_streaming_900
CBOE:TSLZ,TSLZ,T-Rex 2X Inverse Tesla Daily Target ETF,11.53,-4.946413849958791,CBOE,2023-10-18,36,33,2x,delayed_streaming_900
CBOE:TSLT,TSLT,T-REX 2X Long Tesla Daily Target ETF,13.59,4.7802621434078585,CBOE,2023-10-18,36,33,2x,delayed_streaming_900
NASDAQ:NVDD,NVDD,Direxion Daily NVDA Bear 1X ETF,30.36,-2.7546444586803314,NASDAQ,2023-09-12,36,33,,delayed_streaming_900
NASDAQ:NVDU,NVDU,Direxion Daily NVDA Bull 2X ETF,136.08,5.374012699396025,NASDAQ,2023-09-12,36,33,2x,delayed_streaming_900
NASDAQ:TSLR,TSLR,GraniteShares 2x Long TSLA Daily ETF,16.85,5.017793816103579,NASDAQ,2023-08-21,36,33,2x,delayed_streaming_900
NASDAQ:NVD,NVD,GraniteShares 2x Short NVDA Daily ETF,3.9238,-5.450602409638564,NASDAQ,2023-08-20,36,33,2x,delayed_streaming_900
NASDAQ:TSDD,TSDD,GraniteShares 2x Short TSLA Daily ETF,7.65,-4.850746268656702,NASDAQ,2023-08-20,36,33,2x,delayed_streaming_900
NASDAQ:FBL,FBL,GraniteShares 2x Long META Daily ETF,28.2301,0.821785714285715,NASDAQ,2022-12-12,36,33,2x,delayed_streaming_900
NASDAQ:NVDL,NVDL,GraniteShares 2x Long NVDA Daily ETF,34.1501,5.434084594010502,NASDAQ,2022-12-12,36,33,2x,delayed_streaming_900
NASDAQ:BABX,BABX,GraniteShares 2x Long BABA Daily ETF,16.7,2.453987730061341,NASDAQ,2022-12-12,36,33,2x,delayed_streaming_900
NASDAQ:GGLL,GGLL,Direxion Daily GOOGL Bull 2X ETF,102.05,2.1317053642914288,NASDAQ,2022-09-06,36,33,2x,delayed_streaming_900
NASDAQ:GGLS,GGLS,Direxion Daily GOOGL Bear 1X ETF,58.17,-0.9619477313356563,NASDAQ,2022-09-06,36,33,,delayed_streaming_900
NASDAQ:MSFD,MSFD,Direxion Daily MSFT Bear 1X ETF,10.38,-1.1428571428571355,NASDAQ,2022-09-06,36,33,,delayed_streaming_900
NASDAQ:AMZD,AMZD,Direxion Daily AMZN Bear 1X ETF,8.715,-2.153410877082685,NASDAQ,2022-09-06,36,33,,delayed_streaming_900
NASDAQ:MSFU,MSFU,Direxion Daily MSFT Bull 2X ETF,37.29,2.3326015367727813,NASDAQ,2022-09-06,36,33,2x,delayed_streaming_900
NASDAQ:AMZU,AMZU,Direxion Daily AMZN Bull 2X ETF,35.0,4.41527446300715,NASDAQ,2022-09-06,36,33,2x,delayed_streaming_900
AMEX:MSOX,MSOX,AdvisorShares MSOS Daily Leveraged ETF,2.995,2.5684931506849376,AMEX,2022-08-23,36,1,2x,delayed_streaming_900
NASDAQ:AAPD,AAPD,Direxion Daily AAPL Bear 1X ETF,10.3297,-1.3400191021967514,NASDAQ,2022-08-08,36,33,,delayed_streaming_900
NASDAQ:AAPB,AAPB,GraniteShares 2x Long AAPL Daily ETF,44.66,2.8527473843482216,NASDAQ,2022-08-08,36,33,2x,delayed_streaming_900
NASDAQ:TSLL,TSLL,Direxion Daily TSLA Bull 2X ETF,9.76,4.833512352309337,NASDAQ,2022-08-08,36,33,2x,delayed_streaming_900
NASDAQ:AAPU,AAPU,Direxion Daily AAPL Bull 2X ETF,45.7,2.7659096019788714,NASDAQ,2022-08-08,36,33,2x,delayed_streaming_900
NASDAQ:CONL,CONL,GraniteShares 2x Long COIN Daily ETF,4.995,9.06113537117904,NASDAQ,2022-08-08,36,33,2x,delayed_streaming_900
NASDAQ:TSL,TSL,GraniteShares 1.25x Long TSLA Daily ETF,13.83,3.2467096176960286,NASDAQ,2022-08-08,36,33,1.25x,delayed_streaming_900
NASDAQ:TSLS,TSLS,Direxion Daily TSLA Bear 1X ETF,55.74,-2.3817863397548154,NASDAQ,2022-08-08,36,33,,delayed_streaming_900
NASDAQ:NVDS,NVDS,Tradr 1.5X Short NVDA Daily ETF,18.74,-4.107416068404066,NASDAQ,2022-07-13,36,33,1.5x,delayed_streaming_900
NASDAQ:TSLQ,TSLQ,Tradr 2X Short TSLA Daily ETF,18.2399,-4.901459854014604,NASDAQ,2022-07-12,36,33,2x,delayed_streaming_900
NASDAQ:TARK,TARK,Tradr 2X Long Innovation ETF,52.5,8.675627058368123,NASDAQ,2022-05-01,36,33,2x,delayed_streaming_900
NASDAQ:SARK,SARK,Tradr 1X Short Innovation Daily ETF,24.3635,-4.606499608457325,NASDAQ,2021-11-04,36,33,,delayed_streaming_900
